state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,090,vap_hisp,pre_24_rep_tru,0.5086018054361906,0.16544268644154775,0.18274474441231445,0.8087891846533625
AK,090,vap_asian,pre_24_dem_har,0.530766534853966,0.1793833949696642,0.19204048651896793,0.8601961209055693
AK,090,vap_asian,pre_24_rep_tru,0.46923346514603376,0.1793833949696642,0.1398038790944305,0.8079595134810322
AK,090,vap_aian,pre_24_dem_har,0.6413483686316359,0.15113400461557183,0.318925789522557,0.8973964706586365
AK,090,vap_aian,pre_24_rep_tru,0.35865163136836403,0.15113400461557183,0.1026035293413637,0.6810742104774429
AK,090,vap_oth_b,pre_24_dem_har,0.5588539223605982,0.16574636417971708,0.23026645755607578,0.8618503392252941
AK,090,vap_oth_b,pre_24_rep_tru,0.441146077639402,0.16574636417971708,0.13814966077470595,0.7697335424439242
AK,110,vap_white,pre_24_dem_har,0.7237078022017766,0.047161016420019006,0.6277494328531018,0.8070973836591571
AK,110,vap_white,pre_24_rep_tru,0.27629219779822356,0.047161016420019006,0.1929026163408431,0.3722505671468985
AK,110,vap_black,pre_24_dem_har,0.5069090948214905,0.1840322070097475,0.16165347281431797,0.8578165224137501
AK,110,vap_black,pre_24_rep_tru,0.4930909051785096,0.1840322070097475,0.14218347758625,0.838346527185682
AK,110,vap_hisp,pre_24_dem_har,0.5132211862239563,0.18363560884619654,0.16481007731666436,0.8626224268002041
AK,110,vap_hisp,pre_24_rep_tru,0.4867788137760438,0.18363560884619654,0.1373775731997959,0.8351899226833357
AK,110,vap_asian,pre_24_dem_har,0.48842403261797507,0.195103657927981,0.1297799794879417,0.8595873136166612
AK,110,vap_asian,pre_24_rep_tru,0.5115759673820248,0.195103657927981,0.1404126863833387,0.870220020512058
AK,110,vap_aian,pre_24_dem_har,0.529934054639522,0.18023240046171274,0.19164934184133683,0.8686575502687377
AK,110,vap_aian,pre_24_rep_tru,0.4700659453604782,0.18023240046171274,0.13134244973126238,0.8083506581586631
