state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,Bethel Census Area,vap_hisp,pre_20_dem_bid,0.5404710342796752,0.1811656418125886,0.18808408257892617,0.8574507731866202
AK,Bethel Census Area,vap_oth,pre_20_rep_tru,0.329286844456135,0.01329450108766373,0.3028509000058064,0.35520359465935003
AK,Bethel Census Area,vap_oth,pre_20_dem_bid,0.6707131555438648,0.01329450108766373,0.6447964053406499,0.6971490999941936
AK,Bethel Census Area,vap_white,uss_20_rep_sul,0.5346759056203304,0.16143202517618702,0.20628240723441815,0.8263967538287377
AK,Bethel Census Area,vap_white,uss_20_dem_gro,0.4653240943796698,0.16143202517618702,0.17360324617126216,0.7937175927655817
AK,Bethel Census Area,vap_black,uss_20_rep_sul,0.4861860542366971,0.17481644885349204,0.16919026600867246,0.8252499782474806
AK,Bethel Census Area,vap_black,uss_20_dem_gro,0.513813945763303,0.17481644885349204,0.1747500217525196,0.8308097339913276
AK,Bethel Census Area,vap_hisp,uss_20_rep_sul,0.48671221675924614,0.18670887737494973,0.13824584847028695,0.8410803418079109
AK,Bethel Census Area,vap_hisp,uss_20_dem_gro,0.5132877832407539,0.18670887737494973,0.15891965819208884,0.8617541515297129
AK,Bethel Census Area,vap_oth,uss_20_rep_sul,0.3492272164201245,0.01544836023894979,0.3199033820424549,0.3803027094487514
AK,Bethel Census Area,vap_oth,uss_20_dem_gro,0.6507727835798754,0.01544836023894979,0.6196972905512487,0.6800966179575451
AK,Bristol Bay Borough,vap_white,pre_16_rep_tru,0.7499328193627648,0.12428528605499872,0.4963897223006709,0.9630168822018768
AK,Bristol Bay Borough,vap_white,pre_16_dem_cli,0.2500671806372351,0.12428528605499872,0.03698311779812316,0.5036102776993292
AK,Bristol Bay Borough,vap_black,pre_16_rep_tru,0.5127172110088466,0.27368494403689486,0.0286568864552598,0.9757879071724972
AK,Bristol Bay Borough,vap_black,pre_16_dem_cli,0.4872827889911536,0.27368494403689486,0.0242120928275028,0.97134311354474
AK,Bristol Bay Borough,vap_hisp,pre_16_rep_tru,0.5151992903603164,0.20876922311803325,0.11916603919756752,0.8912450681360645
AK,Bristol Bay Borough,vap_hisp,pre_16_dem_cli,0.4848007096396838,0.20876922311803325,0.10875493186393516,0.8808339608024324
AK,Bristol Bay Borough,vap_oth,pre_16_rep_tru,0.5017274721267362,0.13598071785289256,0.2536017613085592,0.7750145649678232
AK,Bristol Bay Borough,vap_oth,pre_16_dem_cli,0.4982725278732639,0.13598071785289256,0.22498543503217652,0.7463982386914407
AK,Bristol Bay Borough,vap_white,uss_16_rep_mur,0.8726774019230774,0.06475699399327807,0.7364690527326415,0.9849315297233372
AK,Bristol Bay Borough,vap_white,uss_16_dem_met,0.12732259807692284,0.06475699399327807,0.01506847027666257,0.26353094726735815
AK,Bristol Bay Borough,vap_black,uss_16_rep_mur,0.502328513980753,0.27680475063400306,0.02709574633791687,0.9767413294214204
AK,Bristol Bay Borough,vap_black,uss_16_dem_met,0.4976714860192471,0.27680475063400306,0.02325867057857969,0.9729042536620832
AK,Bristol Bay Borough,vap_hisp,uss_16_rep_mur,0.5252015338205716,0.21048125223665864,0.11761939328995748,0.908203917302106
AK,Bristol Bay Borough,vap_hisp,uss_16_dem_met,0.4747984661794286,0.21048125223665864,0.09179608269789374,0.8823806067100424
AK,Bristol Bay Borough,vap_oth,uss_16_rep_mur,0.909969399150503,0.06286359652394032,0.7720098113152596,0.998184794077356
AK,Bristol Bay Borough,vap_oth,uss_16_dem_met,0.09003060084949698,0.06286359652394032,0.00181520592264388,0.2279901886847404
AK,Bristol Bay Borough,vap_white,gov_18_rep_dun,0.6162520750116478,0.13495047821673942,0.3488235617430828,0.8577710908116316
